Model trained on...,Mean Dice (ideal 1),Std,Relative Volume Error (ideal 0),Std
Spine Generic,0.77,0.061,23.656,17.92
Inspired,0.409,0.053,114.437,38.122
Canproco,0.027,0.046,4.913,40.734
sci-colorado,0.264,0.191,-80.887,17.84
All Aggregated,0.85,0.074,-21.882,11.34
